rating,weight,title,minplayers,maxplayers,link,rank,bg_id,maxplaytime,minplaytime
6.9584,1.7439,Mystery Rummy: Jack the Ripper,2,4,http://www.boardgamegeek.com/boardgame/106,47,106,45,45
7.03303,1.8998,Cribbage,2,4,http://www.boardgamegeek.com/boardgame/2398,55,2398,30,30
6.87859,1.5824,Mystery Rummy: Al Capone and the Chicago Underworld,2,4,http://www.boardgamegeek.com/boardgame/5942,58,5942,40,20
7.99539,3.6353,Agricola,1,5,http://www.boardgamegeek.com/boardgame/31260,3,31260,150,30
6.90355,2.4403,On the Underground,2,5,http://www.boardgamegeek.com/boardgame/24773,391,24773,60,60
6.90402,2.25,The Road to Canterbury,2,3,http://www.boardgamegeek.com/boardgame/96792,399,96792,60,60
6.86155,2.037,Traders of Osaka,2,4,http://www.boardgamegeek.com/boardgame/24827,62,24827,30,30
6.68443,1.4286,10 Days in Asia,2,4,http://www.boardgamegeek.com/boardgame/22398,66,22398,25,25
6.78649,1.9476,The Hanging Gardens,2,4,http://www.boardgamegeek.com/boardgame/34707,68,34707,45,45
6.59835,1.9375,Garibaldi: The Escape,2,6,http://www.boardgamegeek.com/boardgame/28739,82,28739,60,60
7.89497,3.7534,Le Havre,1,5,http://www.boardgamegeek.com/boardgame/35677,5,35677,150,30
7.64796,2.3637,Dominion,2,4,http://www.boardgamegeek.com/boardgame/36218,7,36218,30,30
7.30338,2.3654,Small World,2,5,http://www.boardgamegeek.com/boardgame/40692,15,40692,80,40
6.63872,1.83,Kingdoms,2,4,http://www.boardgamegeek.com/boardgame/119,86,119,45,45
7.13799,2.3843,Peloponnes,1,5,http://www.boardgamegeek.com/boardgame/42910,27,42910,45,45
7.27413,2.2909,San Juan,2,4,http://www.boardgamegeek.com/boardgame/8217,28,8217,60,45
7.15686,2.1622,Thebes,2,4,http://www.boardgamegeek.com/boardgame/30869,38,30869,60,60
7.20419,2.3894,Trains,2,4,http://www.boardgamegeek.com/boardgame/121408,601,121408,45,45
7.10224,2.3641,Yspahan,2,4,http://www.boardgamegeek.com/boardgame/22345,41,22345,60,45
7.21463,2.7042,Legacy: The Testament of Duke de Crecy,1,4,http://www.boardgamegeek.com/boardgame/52461,45,52461,60,60
7.00351,2.1122,Aquaretto,2,5,http://www.boardgamegeek.com/boardgame/34194,46,34194,45,45
6.63029,2.0606,Kachina,2,5,http://www.boardgamegeek.com/boardgame/30024,47,30024,45,45
7.05941,2.2139,Through the Desert,2,5,http://www.boardgamegeek.com/boardgame/503,50,503,45,45
7.04872,2.2992,Blue Moon City,2,4,http://www.boardgamegeek.com/boardgame/21882,51,21882,60,60
6.97028,1.2222,Riff Raff,2,4,http://www.boardgamegeek.com/boardgame/118695,602,118695,30,30
6.75986,1.6286,Rise of Augustus,2,6,http://www.boardgamegeek.com/boardgame/137297,605,137297,30,30
6.87974,2.1714,Tanto Cuore,2,4,http://www.boardgamegeek.com/boardgame/65282,610,65282,45,45
7.47655,1.8167,Splendor,2,4,http://www.boardgamegeek.com/boardgame/148228,611,148228,30,30
7.29994,2.3473,Abyss,2,4,http://www.boardgamegeek.com/boardgame/155987,626,155987,60,30
7.1109,2.2627,Thurn and Taxis,2,4,http://www.boardgamegeek.com/boardgame/21790,54,21790,60,60
6.64906,2.2222,Politico,2,5,http://www.boardgamegeek.com/boardgame/32639,62,32639,30,30
7.13119,1.8453,The Downfall of Pompeii,2,4,http://www.boardgamegeek.com/boardgame/13004,66,13004,45,45
7.30778,1.709,Survive: Escape from Atlantis!,2,4,http://www.boardgamegeek.com/boardgame/2653,69,2653,60,45
7.0703,1.4791,Camel Up,2,8,http://www.boardgamegeek.com/boardgame/153938,630,153938,30,20
7.03855,1.3911,Linko!,2,5,http://www.boardgamegeek.com/boardgame/153065,636,153065,20,20
6.93103,2.2479,La Isla,2,4,http://www.boardgamegeek.com/boardgame/154246,637,154246,60,30
7.14931,1.6043,Port Royal,2,5,http://www.boardgamegeek.com/boardgame/156009,638,156009,50,20
6.98553,1.5669,Diamonds,2,6,http://www.boardgamegeek.com/boardgame/152162,640,152162,30,20
6.97714,2.0154,Nations: The Dice Game,1,4,http://www.boardgamegeek.com/boardgame/157809,643,157809,40,20
7.03271,2.213,Metropolys,2,4,http://www.boardgamegeek.com/boardgame/25568,72,25568,45,45
6.5684,2.2614,Sumeria,3,4,http://www.boardgamegeek.com/boardgame/39832,73,39832,60,30
6.80549,1.7486,Lost Cities: The Board Game,2,4,http://www.boardgamegeek.com/boardgame/42487,75,42487,60,30
6.72157,1.5135,Keltis: Das Kartenspiel,2,4,http://www.boardgamegeek.com/boardgame/40832,77,40832,20,20
7.0304,2.1142,Alhambra,2,6,http://www.boardgamegeek.com/boardgame/6249,79,6249,60,45
6.90011,2.4177,Sator Arepo Tenet Opera Rotas,2,4,http://www.boardgamegeek.com/boardgame/18500,81,18500,60,60
6.91068,2.6244,Viceroy,1,4,http://www.boardgamegeek.com/boardgame/157526,644,157526,60,45
7.12565,1.8158,Cacao,2,4,http://www.boardgamegeek.com/boardgame/171499,645,171499,45,45
7.0214,1.2174,Loony Quest,2,5,http://www.boardgamegeek.com/boardgame/136991,650,136991,30,20
7.4093,2.141,Arboretum,2,4,http://www.boardgamegeek.com/boardgame/140934,652,140934,30,30
6.86457,2.6,Heroes Wanted,1,5,http://www.boardgamegeek.com/boardgame/153097,653,153097,45,45
6.9715,1.5751,Lanterns: The Harvest Festival,2,4,http://www.boardgamegeek.com/boardgame/160851,657,160851,30,30
6.88487,2.1449,Atlantic Star,2,6,http://www.boardgamegeek.com/boardgame/2570,85,2570,60,60
7.09592,2.3034,Wiz-War (eighth edition),2,4,http://www.boardgamegeek.com/boardgame/104710,88,104710,60,30
6.78335,2.0193,Colossal Arena,2,5,http://www.boardgamegeek.com/boardgame/105,90,105,60,60
6.82198,1.9607,Razzia!,2,5,http://www.boardgamegeek.com/boardgame/12589,93,12589,45,45
6.97763,1.9565,"Run, Fight, or Die!",1,4,http://www.boardgamegeek.com/boardgame/89910,658,89910,40,40
6.73379,2.0,Greed,2,5,http://www.boardgamegeek.com/boardgame/151247,659,151247,30,30
7.22798,2.3876,Broom Service,2,5,http://www.boardgamegeek.com/boardgame/172308,661,172308,75,30
7.0501,2.3448,Waggle Dance,2,4,http://www.boardgamegeek.com/boardgame/158572,665,158572,90,30
7.18559,2.253,Royals,2,5,http://www.boardgamegeek.com/boardgame/165986,666,165986,60,60
7.02651,2.4444,Cannonball Colony,2,4,http://www.boardgamegeek.com/boardgame/35910,95,35910,60,60
6.83877,1.8814,Wildlife Adventure,2,6,http://www.boardgamegeek.com/boardgame/156,99,156,60,60
6.74872,2.5,Sentinel Tactics: The Flame of Freedom,2,8,http://www.boardgamegeek.com/boardgame/146408,668,146408,45,45
7.03781,1.3354,Flick 'em Up!,2,10,http://www.boardgamegeek.com/boardgame/169124,674,169124,45,30
6.9014,2.0135,Ancient Terrible Things,2,4,http://www.boardgamegeek.com/boardgame/137031,676,137031,60,60
6.83759,2.2078,El Gaucho,2,4,http://www.boardgamegeek.com/boardgame/162823,677,162823,60,60
7.56134,2.0797,Stockpile,2,5,http://www.boardgamegeek.com/boardgame/161614,678,161614,45,45
6.75245,1.2647,Eggs and Empires,2,6,http://www.boardgamegeek.com/boardgame/156180,682,156180,25,25
6.84773,1.4149,Beasty Bar,2,4,http://www.boardgamegeek.com/boardgame/165950,686,165950,20,20
7.14387,2.3671,Discoveries,2,4,http://www.boardgamegeek.com/boardgame/171669,689,171669,60,60
6.96848,2.093,Dungeon Dice,2,5,http://www.boardgamegeek.com/boardgame/136192,693,136192,20,20
6.89812,2.064,New York 1901,2,4,http://www.boardgamegeek.com/boardgame/174660,695,174660,60,30
6.5976,2.0,Sultaniya,2,4,http://www.boardgamegeek.com/boardgame/145012,696,145012,45,45
6.55281,1.5577,Rattlebones,2,4,http://www.boardgamegeek.com/boardgame/150146,697,150146,30,15
6.86216,2.1649,"Artifacts, Inc.",2,4,http://www.boardgamegeek.com/boardgame/168609,698,168609,60,60
6.61156,2.2045,Grog Island,2,4,http://www.boardgamegeek.com/boardgame/163931,700,163931,75,40
6.5336,2.4608,Fürstenfeld,2,5,http://www.boardgamegeek.com/boardgame/84469,503,84469,60,60
6.7621,2.0177,Africana,2,4,http://www.boardgamegeek.com/boardgame/118000,537,118000,60,60
6.70775,2.1951,Santa Cruz,2,4,http://www.boardgamegeek.com/boardgame/118610,538,118610,45,45
6.76162,1.8125,Pelican Cove,1,5,http://www.boardgamegeek.com/boardgame/90870,539,90870,30,30
7.02467,2.0207,DC Comics Deck-Building Game,2,5,http://www.boardgamegeek.com/boardgame/125678,565,125678,45,45
6.9737,2.0701,Guildhall,2,4,http://www.boardgamegeek.com/boardgame/132372,566,132372,45,30
6.96009,2.2434,Fleet,2,4,http://www.boardgamegeek.com/boardgame/121297,567,121297,45,30
6.74177,2.2644,P.I.,2,5,http://www.boardgamegeek.com/boardgame/129050,572,129050,60,45
6.51879,1.3621,Noah,2,5,http://www.boardgamegeek.com/boardgame/116858,573,116858,30,30
7.04024,1.7624,Tokaido,2,5,http://www.boardgamegeek.com/boardgame/123540,574,123540,45,45
6.61326,1.5517,Scripts and Scribes: The Dice Game,2,5,http://www.boardgamegeek.com/boardgame/122943,575,122943,30,30
6.7687,1.7692,Divinare,2,4,http://www.boardgamegeek.com/boardgame/118418,577,118418,30,30
6.80963,2.0543,Smash Up,2,4,http://www.boardgamegeek.com/boardgame/122522,579,122522,45,45
7.14723,2.2326,Among the Stars,2,4,http://www.boardgamegeek.com/boardgame/110277,581,110277,30,30
6.68568,2.1194,Garden Dice,2,4,http://www.boardgamegeek.com/boardgame/109779,582,109779,60,60
6.56544,2.5,The Cave,2,5,http://www.boardgamegeek.com/boardgame/129351,583,129351,60,60
6.61058,1.5588,Call to Glory,2,4,http://www.boardgamegeek.com/boardgame/124590,584,124590,30,30
6.91776,1.6,The Little Prince: Make Me a Planet,2,5,http://www.boardgamegeek.com/boardgame/134453,592,134453,25,25
6.61286,1.624,Eight-Minute Empire,2,5,http://www.boardgamegeek.com/boardgame/131366,594,131366,20,8
6.71845,2.1919,Mundus Novus,2,6,http://www.boardgamegeek.com/boardgame/103686,595,103686,60,45
6.65762,2.3288,Sunrise City,2,4,http://www.boardgamegeek.com/boardgame/97357,599,97357,60,60
7.12861,2.1217,Tobago,2,4,http://www.boardgamegeek.com/boardgame/42215,321,42215,60,60
6.51318,1.84,Atlantis,2,4,http://www.boardgamegeek.com/boardgame/55253,326,55253,45,45
6.87067,2.2094,Havana,2,4,http://www.boardgamegeek.com/boardgame/57925,328,57925,45,30
6.97365,2.5024,Thunderstone,1,5,http://www.boardgamegeek.com/boardgame/53953,333,53953,60,60
7.20914,1.6778,Biblios,2,4,http://www.boardgamegeek.com/boardgame/34219,335,34219,30,30
7.64211,1.9807,Ticket to Ride: Nordic Countries,2,3,http://www.boardgamegeek.com/boardgame/31627,337,31627,60,30
6.6475,2.2453,Orient Express,1,6,http://www.boardgamegeek.com/boardgame/2363,338,2363,60,60
6.70494,1.8406,Cable Car,2,6,http://www.boardgamegeek.com/boardgame/58602,342,58602,45,45
7.4384,2.324,Galaxy Trucker,2,4,http://www.boardgamegeek.com/boardgame/31481,347,31481,60,60
7.2476,1.7308,Cornerstone,1,4,http://www.boardgamegeek.com/boardgame/38429,348,38429,45,45
7.24598,1.1242,PitchCar,2,8,http://www.boardgamegeek.com/boardgame/150,357,150,30,30
6.99087,2.0474,Snow Tails,2,5,http://www.boardgamegeek.com/boardgame/38054,361,38054,60,45
